s,S,F,R,RT,congruent,OverallAcc
1,s2,A,r2,0.393,1,1
1,s2,A,r2,0.309,0,1
1,s2,A,r2,0.405,1,1
1,s2,A,r1,0.465,0,0
1,s1,A,r1,0.392,1,1
1,s2,A,r2,0.403,1,1
1,s1,A,r1,0.544,1,1
1,s2,A,r2,0.467,0,1
1,s2,A,r2,0.492,1,1
1,s2,A,r1,0.388,0,0
1,s2,A,r2,0.382,1,1
1,s2,A,r1,0.396,0,0
1,s2,A,r2,0.614,1,1
1,s1,A,r1,0.569,1,1
1,s2,A,r2,0.635,0,1
1,s2,A,r2,0.396,1,1
1,s1,A,r1,0.552,1,1
1,s2,A,r2,0.475,0,1
1,s2,A,r2,0.484,1,1
1,s1,A,r1,0.589,1,1
1,s2,A,r2,0.543,1,1
1,s1,A,r1,0.581,1,1
1,s2,A,r2,0.519,1,1
1,s1,A,r1,0.478,1,1
1,s2,A,r2,0.437,1,1
1,s2,A,r2,0.48,0,1
1,s1,A,r1,0.712,1,1
1,s1,A,r1,0.421,1,1
1,s2,A,r2,0.398,0,1
1,s2,A,r2,0.427,0,1
1,s2,A,r2,0.373,1,1
1,s1,A,r1,0.483,1,1
1,s1,A,r1,0.457,1,1
1,s2,A,r2,0.529,1,1
1,s1,A,r1,0.44,1,1
1,s1,A,r1,0.432,1,1
1,s2,A,r2,0.409,1,1
1,s2,A,r2,0.517,1,1
1,s1,A,r1,0.508,1,1
1,s2,A,r1,0.514,0,0
1,s2,A,r2,0.455,0,1
1,s1,A,r1,0.417,1,1
1,s2,A,r2,0.426,1,1
1,s1,A,r1,0.469,1,1
1,s2,A,r1,0.525,0,0
1,s1,A,r1,0.482,1,1
1,s1,A,r1,0.456,1,1
1,s1,A,r1,0.4,1,1
1,s2,A,r2,0.522,1,1
1,s1,A,r1,0.514,1,1
1,s2,A,r2,0.775,1,1
1,s2,A,r2,0.419,1,1
1,s2,A,r2,0.335,1,1
1,s2,A,r2,0.35,1,1
1,s1,A,r1,0.572,1,1
1,s1,A,r1,0.415,1,1
1,s2,A,r2,0.552,1,1
1,s1,A,r1,0.381,1,1
1,s2,A,r2,0.472,1,1
1,s2,A,r2,0.402,1,1
1,s1,A,r1,0.382,1,1
1,s1,A,r1,0.441,1,1
1,s1,A,r1,0.386,1,1
1,s1,A,r1,0.349,1,1
1,s2,A,r2,0.457,0,1
1,s1,A,r1,0.434,1,1
1,s2,A,r2,0.427,1,1
1,s2,A,r2,0.47,0,1
1,s1,A,r1,0.48,1,1
1,s2,A,r2,0.502,1,1
1,s1,A,r1,0.43,1,1
1,s2,A,r2,0.439,1,1
1,s1,A,r1,0.418,1,1
1,s2,A,r2,0.379,0,1
1,s1,A,r1,0.44,1,1
1,s2,A,r2,0.353,1,1
1,s2,A,r1,0.527,0,0
1,s2,A,r2,0.388,1,1
1,s2,A,r2,0.417,1,1
1,s1,A,r1,0.492,1,1
1,s1,A,r1,0.451,1,1
1,s2,A,r1,0.443,0,0
1,s1,A,r1,0.612,1,1
1,s1,A,r1,0.436,1,1
1,s2,A,r1,0.413,1,0
1,s2,A,r1,0.567,0,0
1,s1,A,r1,0.617,1,1
1,s2,A,r2,0.458,1,1
1,s1,A,r1,0.516,1,1
1,s1,A,r1,0.489,1,1
1,s1,A,r1,0.462,1,1
1,s1,A,r1,0.39,1,1
1,s1,A,r1,0.385,1,1
1,s2,A,r2,0.459,1,1
1,s2,A,r2,0.517,0,1
1,s2,A,r1,0.492,0,0
1,s2,A,r2,0.611,0,1
1,s2,A,r2,0.422,1,1
1,s2,A,r1,0.465,0,0
1,s2,A,r1,0.488,0,0
1,s2,A,r2,0.519,1,1
1,s1,A,r1,0.398,1,1
1,s1,A,r1,0.424,1,1
1,s2,A,r2,0.434,0,1
1,s2,A,r1,0.588,0,0
1,s2,A,r2,0.43,1,1
1,s1,A,r1,0.441,1,1
1,s2,A,r2,0.321,1,1
1,s2,A,r2,0.369,1,1
1,s1,A,r2,0.559,1,0
1,s1,A,r1,0.435,1,1
1,s2,A,r2,0.412,1,1
1,s2,A,r1,0.391,0,0
1,s2,A,r2,0.386,0,1
1,s2,A,r2,0.415,1,1
1,s2,A,r2,0.395,1,1
1,s2,A,r2,0.343,1,1
1,s2,A,r2,0.326,1,1
1,s2,A,r2,0.421,1,1
1,s1,A,r1,0.433,1,1
1,s2,A,r2,0.329,1,1
1,s2,A,r2,0.409,1,1
1,s1,A,r1,0.308,1,1
1,s2,A,r2,0.195,1,1
1,s1,A,r1,0.28,1,1
1,s2,A,r2,0.263,1,1
1,s1,A,r1,0.281,1,1
1,s2,A,r2,0.184,1,1
1,s2,A,r1,0.142,1,0
1,s2,A,r1,0.31,0,0
1,s1,A,r1,0.422,1,1
1,s1,A,r1,0.479,1,1
1,s2,A,r2,0.405,0,1
1,s1,A,r1,0.496,1,1
1,s2,A,r2,0.469,1,1
1,s2,A,r2,0.383,1,1
1,s2,A,r2,0.428,1,1
1,s1,A,r1,0.407,1,1
1,s2,A,r2,1.056,1,1
1,s2,A,r2,0.832,1,1
1,s1,A,r1,0.522,1,1
1,s2,A,r2,0.415,1,1
1,s2,A,r1,0.634,0,0
1,s1,A,r1,0.538,1,1
1,s1,A,r1,0.495,1,1
1,s2,A,r2,0.581,0,1
1,s1,A,r1,0.503,1,1
1,s2,A,r2,0.477,1,1
1,s2,A,r2,0.853,1,1
1,s2,A,r2,0.446,1,1
1,s2,A,r2,0.757,1,1
1,s1,A,r1,0.466,1,1
1,s2,A,r1,0.489,0,0
1,s2,A,r2,0.543,1,1
1,s2,A,r2,0.373,1,1
1,s2,A,r2,0.37,1,1
1,s2,A,r1,0.8,0,0
1,s2,A,r2,0.584,0,1
1,s2,A,r2,0.509,1,1
1,s1,A,r1,0.708,1,1
1,s1,A,r1,0.545,1,1
1,s1,A,r1,0.485,1,1
1,s2,A,r2,0.491,0,1
1,s2,A,r2,0.499,0,1
1,s2,A,r2,0.411,1,1
1,s1,A,r1,0.407,1,1
1,s2,A,r2,0.481,1,1
1,s1,A,r1,0.426,1,1
1,s1,A,r1,0.451,1,1
1,s2,A,r2,0.523,1,1
1,s2,A,r2,0.738,1,1
1,s1,A,r1,0.416,1,1
1,s2,A,r2,0.425,0,1
1,s2,A,r2,0.436,1,1
1,s1,A,r1,0.479,1,1
1,s1,A,r1,0.453,1,1
1,s2,A,r2,0.461,0,1
1,s2,A,r2,0.391,1,1
1,s2,A,r2,0.403,1,1
1,s2,A,r2,0.495,0,1
1,s1,A,r1,0.487,1,1
1,s2,A,r2,0.478,0,1
1,s1,A,r1,0.452,1,1
1,s2,A,r1,0.508,0,0
1,s2,A,r2,0.578,0,1
1,s2,A,r2,0.535,0,1
1,s1,A,r1,0.509,1,1
1,s2,A,r2,0.387,1,1
1,s1,A,r1,0.4,1,1
1,s2,A,r2,0.346,1,1
1,s2,A,r2,0.393,1,1
1,s1,A,r1,0.389,1,1
1,s2,A,r2,0.4,0,1
1,s1,A,r1,0.444,1,1
1,s1,A,r1,0.452,1,1
1,s2,A,r2,0.444,1,1
1,s2,A,r1,0.598,0,0
1,s1,A,r1,0.44,1,1
1,s2,A,r2,0.529,1,1
1,s1,A,r1,0.438,1,1
1,s2,A,r2,0.565,1,1
1,s1,A,r1,0.522,1,1
1,s2,A,r2,0.367,0,1
1,s2,A,r1,0.412,0,0
1,s1,A,r1,0.342,1,1
1,s2,A,r2,0.547,1,1
1,s2,A,r2,0.361,1,1
1,s1,A,r1,0.359,1,1
1,s2,A,r2,0.339,1,1
1,s2,A,r2,0.385,1,1
1,s2,A,r2,0.335,0,1
1,s1,A,r2,0.366,1,0
1,s2,A,r2,0.297,0,1
1,s1,A,r1,0.408,1,1
1,s2,A,r2,0.402,1,1
1,s2,A,r2,0.398,1,1
1,s2,A,r2,0.331,1,1
1,s1,A,r2,0.394,1,0
1,s2,A,r2,0.404,1,1
1,s2,A,r2,0.497,0,1
1,s2,A,r2,0.441,1,1
1,s1,A,r1,0.403,1,1
1,s1,A,r1,0.429,1,1
1,s2,A,r2,0.438,1,1
1,s2,A,r2,0.417,1,1
1,s2,A,r2,0.38,1,1
1,s1,A,r1,0.473,1,1
1,s1,A,r1,0.48,1,1
1,s2,A,r2,0.519,1,1
1,s1,A,r1,0.51,1,1
1,s2,A,r2,0.548,1,1
1,s2,A,r2,0.49,1,1
1,s2,A,r2,0.419,1,1
1,s1,A,r1,0.414,1,1
1,s1,A,r1,0.472,1,1
1,s2,A,r1,0.463,1,0
1,s2,A,r2,0.536,1,1
1,s1,A,r1,0.463,1,1
1,s2,A,r2,0.406,0,1
1,s1,A,r1,0.514,1,1
1,s2,A,r2,0.424,1,1
1,s2,A,r2,0.386,1,1
1,s1,A,r1,0.495,1,1
1,s2,A,r2,0.404,1,1
1,s2,A,r2,0.513,0,1
1,s2,A,r1,0.584,0,0
1,s2,A,r2,0.426,1,1
1,s2,A,r2,0.501,0,1
1,s2,A,r2,0.525,0,1
1,s1,A,r1,0.484,1,1
1,s2,A,r2,1.018,0,1
1,s1,A,x,0.571,1,0
1,s2,A,r2,0.542,1,1
1,s2,A,r2,0.436,1,1
1,s1,A,x,0.399,1,0
1,s2,A,r2,0.345,0,1
1,s1,A,x,0.36,1,0
1,s1,A,x,0.563,1,0
1,s1,A,x,0.534,1,0
1,s2,A,r2,0.555,1,1
1,s2,A,r2,0.448,1,1
1,s2,A,r2,0.459,1,1
1,s2,A,x,0.356,0,0
1,s2,A,x,0.464,0,0
1,s2,A,r2,0.584,0,1
1,s1,A,x,0.492,1,0
1,s2,A,r2,0.355,0,1
1,s2,A,x,0.417,1,0
1,s2,A,r2,0.589,1,1
1,s2,A,x,0.401,0,0
1,s2,A,r2,0.411,1,1
1,s1,A,x,0.391,1,0
1,s1,A,x,0.45,1,0
1,s2,A,r2,0.442,1,1
1,s1,A,x,0.404,1,0
1,s1,A,x,0.526,1,0
1,s2,A,r2,0.483,1,1
1,s2,A,r2,0.7,0,1
1,s2,A,r2,0.443,1,1
1,s2,A,r2,0.405,1,1
1,s2,A,r2,0.386,1,1
1,s2,A,r2,0.415,1,1
1,s2,A,r2,0.442,1,1
1,s1,A,x,0.58,1,0
1,s1,A,x,1.895,1,0
1,s2,A,x,0.736,0,0
1,s2,A,r2,0.588,1,1
1,s2,A,r2,0.416,1,1
1,s2,A,r2,0.412,1,1
1,s2,A,r2,0.422,1,1
1,s2,A,r2,0.546,1,1
1,s2,A,r2,0.76,1,1
1,s2,A,r2,0.852,1,1
1,s1,A,x,0.733,1,0
1,s1,A,x,0.424,1,0
1,s1,A,x,0.546,1,0
1,s2,A,x,0.597,0,0
1,s2,A,r2,0.775,0,1
1,s2,A,r2,0.546,1,1
1,s1,A,x,0.488,1,0
1,s1,A,r1,1.03,1,1
1,s2,A,r2,0.533,1,1
1,s2,A,r2,0.411,1,1
1,s2,A,r2,0.343,1,1
1,s1,A,r1,0.469,1,1
1,s2,A,r2,0.38,0,1
1,s2,A,r2,0.394,0,1
1,s1,A,r1,0.422,1,1
1,s2,A,r1,0.639,0,0
1,s1,A,r1,0.479,1,1
1,s1,A,r1,0.422,1,1
1,s2,A,r1,0.495,0,0
1,s2,A,r2,0.533,0,1
1,s2,A,r2,0.412,1,1
1,s2,A,r2,0.375,1,1
1,s1,A,r1,0.452,1,1
1,s2,A,r1,0.492,0,0
1,s1,A,r1,0.451,1,1
1,s1,A,r1,0.443,1,1
1,s1,A,r1,0.42,1,1
1,s2,A,r2,0.445,1,1
1,s1,A,r1,0.487,1,1
1,s2,A,r2,0.558,1,1
1,s1,A,r1,0.451,1,1
1,s2,A,r2,0.363,1,1
1,s2,A,r1,0.441,0,0
1,s2,A,r2,0.449,1,1
1,s2,A,r2,0.539,0,1
1,s2,A,r2,0.401,1,1
1,s2,A,r2,0.365,1,1
1,s1,A,r1,0.442,1,1
1,s1,A,r1,0.531,1,1
1,s2,A,r1,0.439,0,0
1,s2,A,r2,0.48,0,1
1,s2,A,r1,0.393,0,0
1,s2,A,r2,0.371,1,1
1,s2,A,r1,0.432,0,0
1,s1,A,r1,0.491,1,1
1,s1,A,r1,0.433,1,1
1,s1,A,r1,0.394,1,1
1,s2,A,r2,0.42,1,1
1,s2,A,r2,0.464,1,1
1,s1,A,r1,0.425,1,1
1,s1,A,r1,0.499,1,1
1,s2,A,r2,0.425,1,1
1,s2,A,r2,0.372,1,1
1,s2,A,r2,0.369,1,1
1,s1,A,r1,0.415,1,1
1,s2,A,r1,0.441,0,0
1,s1,A,r1,0.449,1,1
1,s1,A,r1,0.601,1,1
1,s1,A,r1,0.459,1,1
1,s2,A,r1,0.402,0,0
1,s1,A,r1,0.492,1,1
1,s1,A,r1,0.385,1,1
1,s1,A,r1,0.38,1,1
1,s2,A,r2,0.487,1,1
1,s2,A,r2,0.464,1,1
1,s2,A,r2,0.377,1,1
1,s2,A,r2,0.502,0,1
1,s2,A,r2,0.398,1,1
1,s1,A,r1,0.459,1,1
1,s2,A,r2,0.435,1,1
1,s1,A,r1,0.653,1,1
1,s2,A,r2,0.397,0,1
1,s2,A,r2,0.425,1,1
1,s2,A,r2,0.548,1,1
1,s1,A,r1,0.49,1,1
1,s2,A,r2,0.416,1,1
1,s2,A,r2,0.411,1,1
1,s2,A,r2,0.407,1,1
1,s1,A,r1,0.466,1,1
1,s1,A,r1,0.506,1,1
1,s2,A,r2,0.496,1,1
1,s1,A,r1,0.423,1,1
1,s1,A,r2,0.369,1,0
1,s2,A,r2,0.381,1,1
1,s2,A,r2,0.41,1,1
1,s1,A,r1,0.469,1,1
1,s2,A,r1,0.557,0,0
1,s2,A,r2,0.559,0,1
1,s1,A,r1,0.42,1,1
1,s2,A,r2,0.51,1,1
1,s1,A,r1,0.453,1,1
1,s1,A,r2,0.541,1,0
1,s2,A,r2,0.369,1,1
1,s2,A,r1,0.431,0,0
1,s2,A,r1,0.44,1,0
1,s2,A,r2,0.434,1,1
1,s1,A,r1,0.397,1,1
1,s2,A,r2,0.391,1,1
1,s2,A,r2,0.419,1,1
1,s2,A,r2,0.399,1,1
1,s2,A,r2,0.411,1,1
1,s2,A,r2,0.487,0,1
1,s1,A,r1,0.592,1,1
1,s1,A,r1,0.402,1,1
1,s2,A,r2,0.444,1,1
1,s1,A,r1,0.454,1,1
1,s2,A,r2,0.638,1,1
1,s1,A,r1,0.653,1,1
1,s2,A,r2,0.364,1,1
1,s2,A,r2,0.474,1,1
1,s2,A,r2,0.386,1,1
1,s2,A,r2,0.367,1,1
1,s2,A,r2,0.349,1,1
1,s1,A,r1,0.396,1,1
1,s2,A,r2,0.438,0,1
1,s1,A,r1,0.543,1,1
1,s2,A,r2,0.531,0,1
1,s2,A,r1,0.521,0,0
1,s1,A,r1,0.511,1,1
1,s2,A,r2,0.5,0,1
1,s2,A,r1,0.636,0,0
1,s2,A,r2,0.476,1,1
1,s2,A,r2,0.564,0,1
1,s2,A,r2,0.425,0,1
1,s1,A,r1,0.452,1,1
1,s2,A,r2,0.411,1,1
1,s2,A,r2,0.374,1,1
1,s1,A,r1,0.516,1,1
1,s1,A,r1,0.456,1,1
1,s1,A,r1,0.479,1,1
1,s2,A,r2,0.437,1,1
1,s2,A,r2,0.512,1,1
1,s2,A,r2,0.52,0,1
1,s2,A,r2,0.51,1,1
1,s1,A,r1,0.517,1,1
1,s2,A,r2,0.49,1,1
1,s1,A,r1,0.418,1,1
1,s2,A,r2,0.492,1,1
1,s2,A,r2,0.42,1,1
1,s2,A,r2,0.351,1,1
1,s1,A,r1,0.494,1,1
1,s2,A,r2,0.5,1,1
1,s2,A,r2,0.428,1,1
1,s2,A,r2,0.359,1,1
1,s1,A,r1,0.468,1,1
1,s2,A,r1,0.508,0,0
1,s1,A,r1,0.577,1,1
1,s2,A,r2,0.5,1,1
1,s2,A,r2,0.396,1,1
1,s1,A,r1,0.456,1,1
1,s2,A,r2,0.576,0,1
1,s2,A,r1,0.516,0,0
1,s1,A,r1,0.457,1,1
1,s1,A,r1,0.465,1,1
1,s1,A,r1,0.361,1,1
1,s2,A,r1,0.452,0,0
1,s1,A,r1,0.524,1,1
1,s2,A,r1,1.073,0,0
1,s2,A,r2,0.414,1,1
1,s2,A,r2,0.361,1,1
1,s2,A,r2,0.359,1,1
1,s1,A,r2,0.389,1,0
1,s1,A,r1,0.415,1,1
1,s1,A,r1,0.457,1,1
1,s1,A,r1,0.512,1,1
1,s2,A,r2,0.406,1,1
1,s2,A,r2,0.498,1,1
1,s2,A,r2,0.442,1,1
1,s2,A,r1,0.468,0,0
1,s2,A,r2,0.363,0,1
1,s2,A,r1,0.409,0,0
1,s2,A,r2,0.435,0,1
1,s1,A,r1,0.398,1,1
1,s1,A,r1,0.376,1,1
1,s2,A,r2,0.452,1,1
1,s2,A,r2,0.398,1,1
1,s1,A,r1,0.378,1,1
1,s1,A,r1,0.452,1,1
1,s2,A,r2,0.396,1,1
1,s2,A,r1,0.425,1,0
1,s2,A,r1,0.484,0,0
1,s1,A,r1,0.41,1,1
1,s2,A,r2,0.676,0,1
1,s2,A,r2,0.612,0,1
1,s2,A,r2,0.566,0,1
1,s1,A,r1,0.556,1,1
1,s2,A,r2,0.446,1,1
1,s2,A,r1,0.521,0,0
1,s1,A,r1,0.43,1,1
1,s2,A,r2,0.614,1,1
1,s2,A,r2,0.457,1,1
1,s1,A,r1,0.435,1,1
1,s2,A,r1,0.443,0,0
1,s1,A,r2,0.403,1,0
1,s1,A,r1,0.494,1,1
1,s2,A,r2,0.595,1,1
1,s2,A,r2,0.391,1,1
1,s2,A,r2,0.419,1,1
1,s1,A,r2,0.463,1,0
1,s2,A,r2,0.598,0,1
1,s2,A,r1,0.522,0,0
1,s1,A,r1,0.495,1,1
1,s1,A,r1,0.469,1,1
1,s2,A,r2,0.508,0,1
1,s2,A,r2,0.451,1,1
1,s2,A,r2,0.477,1,1
1,s1,A,r1,0.534,1,1
1,s1,A,r1,0.849,1,1
1,s1,A,r1,0.471,1,1
1,s2,A,r2,0.462,1,1
1,s2,A,r2,0.407,1,1
1,s2,A,r2,0.467,0,1
1,s1,A,r1,0.461,1,1
1,s2,A,r2,0.372,0,1
1,s2,A,r2,0.415,1,1
1,s2,A,r2,0.427,1,1
1,s2,A,r1,0.358,1,0
1,s2,A,r2,0.42,1,1
1,s1,A,r1,0.462,1,1
1,s1,A,r1,0.551,1,1
1,s2,A,r2,0.489,1,1
1,s1,A,r1,0.498,1,1
1,s2,A,r2,0.504,1,1
1,s1,A,r1,0.464,1,1
1,s2,A,r2,0.455,1,1
1,s1,A,r1,0.464,1,1
1,s1,A,r1,0.456,1,1
1,s2,A,r2,0.464,1,1
1,s2,A,r2,1.033,1,1
1,s2,A,r1,0.554,0,0
1,s2,A,r2,0.56,1,1
1,s2,A,r2,0.373,1,1
1,s2,A,r2,0.482,0,1
1,s1,A,r1,0.49,1,1
1,s2,A,r2,0.481,1,1
1,s2,A,r2,0.426,1,1
1,s1,A,r1,0.581,1,1
1,s2,A,r1,0.551,0,0
1,s2,A,r1,0.506,0,0
1,s1,A,r1,0.608,1,1
1,s1,A,r1,0.482,1,1
1,s2,A,r1,0.504,0,0
1,s1,A,r1,0.398,1,1
1,s1,A,r1,0.376,1,1
1,s1,A,r1,0.532,1,1
1,s2,A,r2,0.456,1,1
1,s2,A,r2,0.482,1,1
1,s2,A,r2,0.459,0,1
1,s2,A,r2,0.42,1,1
1,s2,A,r2,0.432,1,1
1,s1,A,r1,0.475,1,1
1,s1,A,r1,0.626,1,1
1,s2,A,r1,0.467,0,0
1,s1,A,r1,0.474,1,1
1,s2,A,r1,0.593,0,0
1,s2,A,r2,0.532,0,1
1,s1,A,r1,0.474,1,1
1,s1,A,r1,0.545,1,1
1,s1,A,r1,0.532,1,1
1,s2,A,r2,0.505,0,1
1,s1,A,r1,0.625,1,1
1,s2,A,r2,0.513,0,1
1,s1,A,r1,0.553,1,1
1,s1,A,r1,0.732,1,1
1,s2,A,r2,0.647,0,1
1,s2,A,r1,0.889,0,0
1,s2,A,r2,0.64,0,1
1,s2,A,r2,0.482,0,1
1,s2,A,r2,0.474,1,1
1,s2,A,r1,0.499,0,0
1,s2,A,r2,0.505,1,1
1,s1,A,r1,0.481,1,1
1,s2,A,r2,0.551,1,1
1,s2,A,r2,0.429,1,1
1,s1,A,r1,0.408,1,1
1,s2,A,r2,0.514,0,1
1,s2,A,r1,0.474,0,0
1,s1,A,r1,0.497,1,1
1,s2,A,r2,0.471,1,1
1,s2,A,r2,0.608,1,1
1,s2,A,r2,0.419,1,1
1,s2,A,r2,0.527,0,1
1,s2,A,r2,0.469,1,1
1,s2,A,r2,0.399,1,1
1,s1,A,r1,0.475,1,1
1,s2,A,r1,0.498,0,0
1,s1,A,r1,0.584,1,1
1,s2,A,r1,0.474,0,0
1,s2,A,r2,0.481,1,1
1,s2,A,r1,0.682,0,0
1,s1,A,r1,0.536,1,1
1,s1,A,r1,0.524,1,1
1,s2,A,r2,0.657,1,1
1,s2,A,r2,0.53,0,1
1,s2,A,r1,0.649,0,0
1,s2,A,r2,0.552,1,1
1,s1,A,r1,0.702,1,1
1,s1,A,r1,0.587,1,1
1,s2,A,r2,0.541,1,1
1,s2,A,r2,0.611,0,1
1,s2,A,r2,0.467,1,1
1,s2,A,r2,0.477,1,1
1,s2,A,r2,0.613,1,1
1,s2,A,r2,0.536,1,1
1,s2,A,r2,0.479,1,1
1,s1,A,r1,0.44,1,1
1,s2,A,r1,0.48,0,0
1,s2,A,r2,1.092,1,1
1,s2,A,r2,0.544,0,1
1,s2,A,r2,0.372,1,1
1,s1,A,r2,0.335,0,0
1,s2,A,r2,0.636,0,1
1,s2,A,r2,0.476,0,1
1,s2,A,r2,0.436,0,1
1,s2,A,r2,0.396,1,1
1,s2,A,r2,0.374,1,1
1,s1,A,r1,0.418,1,1
1,s2,A,r2,0.476,1,1
1,s2,A,r2,0.387,1,1
1,s2,A,r2,0.414,1,1
1,s1,A,r1,0.439,1,1
1,s1,A,r1,0.623,0,1
1,s1,A,r1,0.415,1,1
1,s2,A,r2,0.552,1,1
1,s1,A,r1,0.508,1,1
1,s1,A,r1,0.37,1,1
1,s1,A,r1,0.397,1,1
1,s1,A,r1,0.568,0,1
1,s1,A,r1,0.411,1,1
1,s1,A,r1,0.436,1,1
1,s1,A,r1,0.397,1,1
1,s2,A,r2,0.471,0,1
1,s1,A,r1,0.462,1,1
1,s2,A,r2,0.485,1,1
1,s1,A,r1,0.492,0,1
1,s1,A,r1,0.61,1,1
1,s1,A,r1,0.514,1,1
1,s2,A,r2,0.536,0,1
1,s2,A,r2,0.428,1,1
1,s2,A,r2,0.404,1,1
1,s1,A,r1,0.446,1,1
1,s1,A,r1,0.39,1,1
1,s1,A,r1,0.512,1,1
1,s2,A,r2,0.533,0,1
1,s1,A,r1,0.458,1,1
1,s1,A,r1,0.353,1,1
1,s2,A,r2,0.525,1,1
1,s1,A,r1,0.466,1,1
1,s1,A,r1,0.488,1,1
1,s1,A,r1,0.399,1,1
1,s2,A,r2,0.473,1,1
1,s1,A,r1,0.4,1,1
1,s1,A,r1,0.538,1,1
1,s1,A,r1,0.351,1,1
1,s2,A,r2,0.427,1,1
1,s2,A,r2,0.484,1,1
1,s1,A,r1,0.426,1,1
1,s2,A,r2,0.483,1,1
1,s1,A,r1,0.473,1,1
1,s1,A,r1,0.385,1,1
1,s1,A,r1,0.364,1,1
1,s2,A,r2,0.471,1,1
1,s2,A,r2,0.399,1,1
1,s1,A,r1,0.457,0,1
1,s2,A,r1,0.416,1,0
1,s2,A,r2,0.457,1,1
1,s2,A,r2,0.401,1,1
1,s1,A,r1,0.412,1,1
1,s1,A,r1,0.629,1,1
1,s1,A,r1,0.421,1,1
1,s1,A,r1,0.527,1,1
1,s2,A,r2,0.403,1,1
1,s2,A,r2,0.365,1,1
1,s1,A,r1,0.489,0,1
1,s2,A,r2,0.575,1,1
1,s1,A,r1,0.418,1,1
1,s2,A,r2,0.476,1,1
1,s2,A,r2,0.434,1,1
1,s1,A,r1,0.475,1,1
1,s2,A,r2,0.482,1,1
1,s2,A,r2,0.696,0,1
1,s2,A,r2,0.502,0,1
1,s2,A,r2,0.411,0,1
1,s1,A,r1,0.501,1,1
1,s1,A,r1,0.363,1,1
1,s2,A,r2,0.438,1,1
1,s2,A,r2,0.591,0,1
1,s1,A,r1,0.465,1,1
1,s2,A,r2,0.472,1,1
1,s2,A,r2,0.415,1,1
1,s2,A,r2,0.376,1,1
1,s2,A,r2,0.403,1,1
1,s2,A,r2,0.381,1,1
1,s2,A,r2,0.472,0,1
1,s1,A,r1,0.432,1,1
1,s2,A,r2,0.456,1,1
1,s2,A,r2,0.528,0,1
1,s2,A,r2,0.437,1,1
1,s1,A,r1,0.509,1,1
1,s1,A,r1,0.627,0,1
1,s2,A,r2,0.627,1,1
1,s1,A,r1,0.499,1,1
1,s1,A,r1,0.553,1,1
1,s2,A,r2,0.461,1,1
1,s2,A,r2,0.42,1,1
1,s1,A,r1,0.573,0,1
1,s1,A,r1,0.495,0,1
1,s2,A,r2,0.439,1,1
1,s2,A,r2,0.351,1,1
1,s1,A,r1,0.396,1,1
1,s2,A,r2,0.422,1,1
1,s1,A,r1,0.463,1,1
1,s1,A,r1,0.375,1,1
1,s2,A,r2,0.418,1,1
1,s2,A,r2,0.348,1,1
1,s1,A,r1,0.6,0,1
1,s2,A,r2,0.377,1,1
1,s1,A,r1,0.58,0,1
1,s1,A,r1,0.487,1,1
1,s1,A,r1,0.493,1,1
1,s2,A,r2,0.404,1,1
1,s2,A,r2,0.333,1,1
1,s1,A,r1,0.427,1,1
1,s1,A,r1,0.403,1,1
1,s1,A,r1,0.381,1,1
1,s1,A,r1,0.408,1,1
1,s2,A,r2,0.514,0,1
1,s1,A,r1,0.439,1,1
1,s1,A,r1,0.496,0,1
1,s1,A,r1,0.438,0,1
1,s2,A,r2,0.606,0,1
1,s2,A,r2,0.447,1,1
1,s1,A,r1,0.455,1,1
1,s2,A,r2,0.415,1,1
1,s2,A,r2,0.52,0,1
1,s2,A,r2,0.398,0,1
1,s2,A,r2,0.408,0,1
1,s1,A,r1,0.497,1,1
1,s1,A,r1,0.359,1,1
1,s1,A,r1,0.403,1,1
1,s2,A,r2,0.429,1,1
1,s1,A,r1,0.438,1,1
1,s1,A,r1,0.382,1,1
1,s1,A,r1,0.345,1,1
1,s1,A,r1,0.326,1,1
1,s2,A,r2,0.451,1,1
1,s1,A,r1,0.475,1,1
1,s1,A,r1,0.673,0,1
1,s1,A,r1,0.464,1,1
1,s1,A,r1,0.359,1,1
1,s2,A,r2,0.435,1,1
1,s2,A,r2,0.41,1,1
1,s1,A,r1,0.484,0,1
1,s2,A,r2,0.474,1,1
1,s2,A,r2,0.482,1,1
1,s1,A,r1,0.552,1,1
1,s2,A,r2,0.444,1,1
1,s2,A,r2,0.372,1,1
1,s2,A,r1,0.399,0,0
1,s2,A,r2,0.506,0,1
1,s2,A,r2,0.447,1,1
1,s2,A,r2,0.375,1,1
1,s2,A,r2,0.499,0,1
1,s2,A,r2,0.441,1,1
1,s1,A,r1,0.497,1,1
1,s2,A,r2,0.423,1,1
1,s2,A,r2,0.336,1,1
1,s1,A,r1,0.589,1,1
1,s1,A,r1,0.415,1,1
1,s2,A,r2,0.457,1,1
1,s1,A,r1,0.465,1,1
1,s2,A,r2,0.456,0,1
1,s1,A,r2,0.319,0,0
1,s2,A,r2,0.429,1,1
1,s1,A,r1,0.646,1,1
1,s1,A,r1,0.389,1,1
1,s2,A,r2,0.496,0,1
1,s2,A,r2,0.518,1,1
1,s1,A,r1,0.475,1,1
1,s1,A,r1,0.369,1,1
1,s2,A,r2,0.445,1,1
1,s1,A,r1,0.453,1,1
1,s1,A,r1,0.366,1,1
1,s1,A,r1,0.345,1,1
